pitch,start,duration,beat_type,string,position,finger
81,0.000000,2.000000,2,4,1,3
79,2.000000,0.250000,5,4,1,2
77,2.250000,0.250000,5,4,1,1
76,2.500000,0.250000,5,4,1,0
77,2.750000,0.250000,5,4,1,1
79,3.000000,0.250000,5,4,1,2
77,3.250000,0.250000,5,4,1,1
76,3.500000,0.250000,5,4,1,0
74,3.750000,0.250000,5,3,1,3
72,0.000000,2.000000,2,3,1,2
74,2.000000,0.250000,5,3,1,3
72,2.250000,0.250000,5,3,1,2
71,2.500000,0.250000,5,3,1,1
72,2.750000,0.250000,5,3,1,2
74,3.000000,0.250000,5,3,1,3
72,3.250000,0.250000,5,3,1,2
70,3.500000,0.250000,5,3,1,1
69,3.750000,0.250000,5,3,1,0
67,0.000000,1.500000,3,2,1,3
65,1.500000,0.500000,4,2,1,2
64,2.000000,0.500000,4,2,1,1
65,2.500000,0.500000,4,2,1,1
77,3.000000,0.500000,4,3,1,4
74,3.500000,0.500000,4,3,1,3
72,0.000000,2.000000,2,3,1,2
70,2.000000,1.000000,3,3,1,1
70,0.000000,1.500000,3,3,1,1
72,1.500000,0.250000,5,3,1,2
70,1.750000,0.250000,5,3,1,1
69,2.000000,0.500000,4,3,1,0
70,2.500000,0.500000,4,3,1,1
82,3.000000,0.500000,4,4,3,4
79,3.500000,0.500000,4,4,3,2
77,0.000000,2.000000,2,4,1,1
76,2.000000,1.000000,3,4,1,0
76,0.000000,1.500000,3,3,3,2
77,1.500000,0.250000,5,3,3,3
76,1.750000,0.250000,5,3,3,2
75,2.000000,0.500000,4,3,3,1
76,2.500000,0.500000,4,3,3,2
86,3.000000,0.500000,4,4,3,4
84,3.500000,0.500000,4,4,3,3
84,0.000000,2.000000,2,4,3,3
82,2.000000,0.500000,4,4,3,2
81,2.500000,0.500000,4,4,3,1
79,3.000000,0.500000,4,4,1,2
77,3.500000,0.500000,4,4,1,1
78,0.000000,0.500000,4,4,1,1
79,0.500000,0.500000,4,4,1,2
81,1.000000,0.500000,4,4,1,3
82,1.500000,0.500000,4,4,1,4
71,2.000000,0.500000,4,3,1,1
72,2.500000,0.500000,4,3,1,2
74,3.000000,0.500000,4,3,3,1
76,3.500000,0.500000,4,3,3,2
77,0.000000,1.000000,3,3,3,3
57,0.000000,0.500000,4,1,1,1
60,0.500000,0.500000,4,1,1,3
65,1.000000,0.500000,4,2,1,2
60,1.500000,0.500000,4,1,1,3
57,2.000000,0.500000,4,1,1,1
60,2.500000,0.500000,4,1,1,3
65,3.000000,0.500000,4,2,1,2
60,3.500000,0.500000,4,1,1,3
57,0.000000,0.500000,4,1,1,1
60,0.500000,0.500000,4,1,1,3
65,1.000000,0.500000,4,2,1,2
60,1.500000,0.500000,4,1,1,3
57,2.000000,0.500000,4,1,1,1
60,2.500000,0.500000,4,1,1,3
65,3.000000,0.500000,4,2,1,2
60,3.500000,0.500000,4,1,1,3
57,0.000000,0.500000,4,1,1,1
62,0.500000,0.500000,4,2,1,0
65,1.000000,0.500000,4,2,1,2
62,1.500000,0.500000,4,2,1,0
57,2.000000,0.500000,4,1,1,1
62,2.500000,0.500000,4,2,1,0
65,3.000000,0.500000,4,2,1,2
62,3.500000,0.500000,4,2,1,0
58,0.000000,0.500000,4,1,1,2
62,0.500000,0.500000,4,2,1,0
67,1.000000,0.500000,4,2,1,3
62,1.500000,0.500000,4,2,1,0
58,2.000000,0.500000,4,1,1,2
62,2.500000,0.500000,4,2,1,0
