pitch,start,duration,beat_type,string,position,finger
79,0.000000,1.000000,3,4,1,2
79,1.000000,1.500000,3,4,1,2
78,2.500000,0.250000,5,4,1,1
79,2.750000,0.250000,5,4,1,2
78,3.000000,0.250000,5,4,1,1
79,3.250000,0.250000,5,4,1,2
78,3.500000,0.250000,5,4,1,1
79,3.750000,0.250000,5,4,1,2
76,0.000000,0.250000,5,3,1,4
74,0.250000,0.750000,4,3,1,3
74,1.000000,1.500000,3,3,1,3
73,2.500000,0.250000,5,3,1,2
74,2.750000,0.250000,5,3,1,3
73,3.000000,0.250000,5,3,1,2
74,3.250000,0.250000,5,3,1,3
73,3.500000,0.250000,5,3,1,2
74,3.750000,0.250000,5,3,1,3
72,0.000000,0.500000,4,3,1,2
71,0.500000,0.500000,4,3,1,1
71,1.000000,1.500000,3,3,1,1
72,2.500000,0.250000,5,3,1,2
71,2.750000,0.125000,6,3,1,1
72,2.875000,0.125000,6,3,1,2
74,3.000000,0.500000,4,3,1,3
76,3.500000,0.500000,4,3,1,4
67,0.000000,0.500000,4,2,1,3
66,0.500000,0.500000,4,2,1,2
66,1.000000,1.000000,3,2,1,2
81,0.000000,2.000000,2,4,1,3
81,2.000000,0.250000,5,4,1,3
79,2.250000,0.250000,5,4,1,2
78,2.500000,0.250000,5,4,1,1
79,2.750000,0.250000,5,4,2,2
81,3.000000,0.250000,5,4,3,1
83,3.250000,0.250000,5,4,3,2
81,3.500000,0.250000,5,4,3,1
83,3.750000,0.250000,5,4,3,2
84,0.000000,0.750000,4,4,3,3
81,0.750000,0.250000,5,4,3,1
84,1.000000,1.000000,3,4,3,3
84,2.000000,0.750000,4,4,3,3
81,2.750000,0.250000,5,4,3,1
84,3.000000,1.000000,3,4,3,3
84,0.000000,0.500000,4,4,3,3
83,0.500000,0.500000,4,4,3,2
81,1.000000,0.500000,4,4,3,1
83,1.500000,0.500000,4,4,3,2
81,2.000000,0.500000,4,4,3,1
67,2.500000,0.500000,4,3,3,4
78,3.000000,0.500000,4,3,3,3
76,3.500000,0.500000,4,3,3,2
74,0.000000,1.500000,3,3,3,1
76,1.500000,0.500000,4,3,3,2
72,2.000000,1.500000,3,3,2,1
74,3.500000,0.500000,4,3,2,2
71,0.000000,1.500000,3,3,1,1
72,1.500000,0.500000,4,3,1,2
69,2.000000,1.500000,3,3,1,0
76,3.500000,0.500000,4,3,3,2
76,0.000000,0.500000,4,3,3,2
67,0.500000,0.500000,4,2,3,1
67,1.000000,2.000000,2,2,3,1
71,3.000000,0.500000,4,2,3,3
69,3.500000,0.500000,4,2,3,2
67,0.000000,1.000000,3,2,3,1
79,0.000000,2.000000,2,4,1,2
83,2.000000,1.000000,3,4,4,1
86,3.000000,1.000000,3,4,4,3
86,0.000000,2.000000,2,4,4,3
85,2.000000,0.250000,5,4,4,2
86,2.250000,0.250000,5,4,4,3
85,2.500000,0.250000,5,4,4,2
86,2.750000,0.250000,5,4,4,3
88,3.000000,0.250000,5,4,4,4
86,3.250000,0.250000,5,4,4,3
84,3.500000,0.250000,5,4,4,2
83,3.750000,0.250000,5,4,4,1
80,0.000000,1.000000,3,3,4,3
81,1.000000,1.000000,3,3,4,4
73,2.000000,0.250000,5,3,2,1
74,2.250000,0.250000,5,3,2,2
73,2.500000,0.250000,5,3,2,1
74,2.750000,0.250000,5,3,2,2
76,3.000000,0.250000,5,3,2,3
74,3.250000,0.250000,5,3,2,2
72,3.500000,0.250000,5,3,2,1
71,3.750000,0.250000,5,2,2,4
68,0.000000,1.000000,3,2,2,2
69,1.000000,1.000000,3,2,2,3
74,2.750000,0.250000,5,3,1,3
78,3.000000,0.500000,4,4,1,1
83,3.500000,0.500000,4,4,1,4
81,0.000000,0.500000,4,4,1,3
79,0.500000,0.500000,4,4,1,2
79,1.000000,1.500000,3,4,1,2
81,2.500000,0.250000,5,4,1,3
83,2.750000,0.250000,5,4,1,4
81,3.000000,0.250000,5,4,1,3
79,3.250000,0.250000,5,4,1,2
78,3.500000,0.250000,5,4,1,1
76,3.750000,0.250000,5,4,1,0
74,0.000000,0.500000,4,3,1,3
73,0.500000,0.500000,4,3,1,2
73,2.000000,0.500000,4,3,1,2
74,2.500000,0.500000,4,3,1,3
75,0.000000,0.500000,4,3,3,1
76,0.500000,0.500000,4,3,3,2
76,2.000000,0.250000,5,3,4,1
79,2.250000,0.250000,5,3,4,3
78,2.500000,0.250000,5,3,4,2
81,2.750000,0.250000,5,3,4,4
79,3.000000,0.500000,4,3,4,3
67,3.500000,0.500000,4,2,2,2
66,0.000000,0.500000,4,2,2,1
81,0.500000,0.500000,4,3,4,4
79,1.000000,0.500000,4,3,4,3
78,1.500000,0.500000,4,3,4,2
76,2.000000,0.500000,4,3,4,1
74,2.500000,0.500000,4,3,1,3
73,3.000000,0.500000,4,3,1,2
72,3.500000,0.500000,4,3,1,2
71,0.000000,2.000000,2,3,1,1
73,2.000000,0.250000,5,3,1,2
75,2.250000,0.250000,5,3,1,3
76,2.500000,0.250000,5,4,1,0
78,2.750000,0.250000,5,4,1,1
79,3.000000,0.250000,5,4,1,2
81,3.250000,0.250000,5,4,3,1
83,0.000000,0.250000,5,4,3,2
85,0.250000,0.250000,5,4,3,3
86,0.500000,0.250000,5,4,3,4
85,0.750000,0.250000,5,4,3,3
83,1.000000,0.250000,5,4,3,2
81,1.250000,0.250000,5,4,3,1
79,1.500000,0.250000,5,3,3,4
78,1.750000,0.250000,5,3,3,3
76,2.000000,0.250000,5,3,3,2
75,2.250000,0.250000,5,3,3,1
76,2.500000,0.250000,5,3,3,2
78,2.750000,0.250000,5,3,3,3
79,3.000000,0.250000,5,3,3,4
81,3.250000,0.250000,5,4,3,1
83,3.500000,0.250000,5,4,3,2
82,3.750000,0.250000,5,4,3,1
83,0.000000,0.250000,5,4,3,2
85,0.250000,0.250000,5,4,3,3
86,0.500000,0.250000,5,4,3,4
85,0.750000,0.250000,5,4,3,3
83,1.000000,0.250000,5,4,3,2
81,1.250000,0.250000,5,4,3,1
79,1.500000,0.250000,5,3,3,4
78,1.750000,0.250000,5,3,3,3
76,2.000000,0.250000,5,3,3,2
75,2.250000,0.250000,5,3,3,1
76,2.500000,0.250000,5,3,3,2
78,2.750000,0.250000,5,3,3,3
79,3.000000,0.250000,5,3,3,4
81,3.250000,0.250000,5,4,3,1
83,3.500000,0.250000,5,4,3,2
82,3.750000,0.250000,5,4,3,1
85,0.000000,0.500000,4,4,3,3
83,0.500000,0.500000,4,4,3,2
81,1.000000,0.500000,4,4,1,3
79,1.500000,0.500000,4,4,1,2
78,2.000000,0.500000,4,4,1,1
76,2.500000,1.000000,3,4,1,0
74,3.500000,0.500000,4,3,1,3
73,0.000000,1.000000,3,3,1,2
81,1.500000,0.250000,5,4,2,2
81,1.750000,0.250000,5,4,2,2
