pitch,start,duration,beat_type,string,position,finger
80,0.000000,1.000000,3,3,3,4
71,1.000000,0.500000,4,2,3,3
80,1.500000,0.500000,4,3,3,4
78,0.000000,0.500000,4,3,3,3
76,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
81,0.000000,1.000000,3,3,4,4
81,1.000000,1.000000,3,3,4,4
81,0.000000,1.000000,3,3,4,4
71,1.000000,0.500000,4,3,1,1
80,0.000000,1.000000,3,3,3,4
72,1.000000,0.500000,4,2,3,3
80,1.500000,0.500000,4,3,3,4
78,0.000000,0.500000,4,3,3,3
76,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
78,0.000000,1.000000,3,3,3,3
78,1.000000,1.000000,3,3,3,3
78,0.000000,1.500000,3,3,3,3
78,1.500000,0.500000,4,3,4,3
80,0.000000,1.000000,3,3,3,4
71,1.000000,0.500000,4,3,1,1
80,1.500000,0.500000,4,3,3,4
78,0.000000,0.500000,4,3,3,3
76,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
85,0.000000,1.000000,3,4,3,3
85,1.000000,1.000000,3,4,3,3
85,0.000000,1.000000,3,4,3,3
83,1.000000,0.500000,4,4,3,2
81,1.500000,0.500000,4,4,2,2
80,0.000000,1.000000,3,4,2,1
78,1.000000,0.500000,4,3,2,4
76,1.500000,0.375000,5,3,2,3
76,1.875000,0.125000,6,3,2,3
73,0.000000,1.000000,3,3,2,1
75,1.000000,1.000000,3,3,3,1
76,0.000000,2.000000,2,3,3,2
76,0.000000,1.000000,3,3,3,2
71,1.000000,1.000000,3,3,1,1
80,0.000000,1.000000,3,3,3,4
71,1.000000,0.500000,4,2,3,3
80,1.500000,0.500000,4,3,3,4
78,0.000000,0.500000,4,3,3,3
76,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
81,0.000000,1.000000,3,3,4,4
81,1.000000,1.000000,3,3,4,4
81,0.000000,1.000000,3,3,4,4
71,1.000000,0.500000,4,3,1,1
80,0.000000,1.000000,3,3,3,4
72,1.000000,0.500000,4,2,3,3
80,1.500000,0.500000,4,3,3,4
78,0.000000,0.500000,4,3,3,3
76,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
78,0.000000,1.000000,3,3,3,3
78,1.000000,1.000000,3,3,3,3
78,0.000000,1.500000,3,3,3,3
78,1.500000,0.500000,4,3,4,3
80,0.000000,1.000000,3,3,3,4
71,1.000000,0.500000,4,3,1,1
80,1.500000,0.500000,4,3,3,4
78,0.000000,0.500000,4,3,3,3
76,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
85,0.000000,1.000000,3,4,3,3
85,1.000000,1.000000,3,4,3,3
85,0.000000,1.000000,3,4,3,3
83,1.000000,0.500000,4,4,3,2
81,1.500000,0.500000,4,4,2,2
80,0.000000,1.000000,3,4,2,1
78,1.000000,0.500000,4,3,2,4
76,1.500000,0.375000,5,3,2,3
76,1.875000,0.125000,6,3,2,3
73,0.000000,1.000000,3,3,2,1
75,1.000000,1.000000,3,3,3,1
76,0.000000,2.000000,2,3,3,2
76,0.000000,1.875000,2,3,3,2
76,1.875000,0.125000,6,3,3,2
79,0.000000,1.000000,3,3,3,4
78,1.000000,0.500000,4,3,3,3
76,1.500000,0.500000,4,3,3,2
72,0.000000,1.000000,3,3,2,1
74,1.000000,0.500000,4,3,3,1
76,1.500000,0.500000,4,3,3,2
78,0.000000,1.000000,3,3,3,3
76,1.000000,0.500000,4,3,3,2
74,1.500000,0.500000,4,3,3,1
71,0.000000,1.000000,3,3,1,1
72,1.000000,0.500000,4,3,1,2
74,1.500000,0.500000,4,3,3,1
76,0.000000,1.000000,3,3,3,2
78,1.000000,0.500000,4,3,3,3
79,1.500000,0.500000,4,3,3,4
81,0.000000,1.000000,3,4,3,1
83,1.000000,0.500000,4,4,3,2
84,1.500000,0.500000,4,4,5,1
86,0.000000,1.000000,3,4,5,2
90,1.000000,0.500000,4,4,5,2
88,1.500000,0.500000,4,4,5,1
86,0.000000,1.500000,3,4,5,2
84,1.500000,0.500000,4,4,5,1
83,0.000000,1.000000,3,4,3,2
81,1.000000,0.500000,4,4,3,1
79,1.500000,0.500000,4,3,3,4
76,0.000000,1.000000,3,3,3,2
78,1.000000,0.500000,4,3,3,3
79,1.500000,0.375000,5,3,3,4
79,1.875000,0.125000,6,4,1,2
83,0.000000,0.500000,4,4,1,4
81,0.500000,0.500000,4,4,1,3
79,1.000000,0.500000,4,4,1,2
78,1.500000,0.500000,4,4,1,1
75,0.000000,1.000000,3,3,3,1
76,1.000000,0.500000,4,3,3,2
78,1.500000,0.500000,4,3,3,3
79,0.000000,1.000000,3,3,3,4
