pitch,start,duration,beat_type,string,position,finger
88,0.500000,0.250000,5,4,4,4
87,0.750000,0.250000,5,4,4,3
88,1.000000,0.500000,4,4,4,4
83,1.500000,0.500000,4,4,4,1
80,2.000000,0.500000,4,3,4,3
83,2.500000,0.500000,4,4,4,1
76,0.000000,0.250000,5,4,1,0
78,0.250000,0.250000,5,4,1,1
76,0.500000,0.250000,5,4,1,0
75,0.750000,0.250000,5,3,1,3
76,1.000000,0.500000,4,3,1,4
71,1.500000,0.500000,4,3,1,1
68,2.000000,0.500000,4,2,1,3
71,2.500000,0.500000,4,3,1,1
64,0.000000,0.250000,5,2,1,1
71,0.250000,0.250000,5,3,1,1
66,0.500000,0.250000,5,2,1,2
71,0.750000,0.250000,5,3,1,1
68,1.000000,0.250000,5,2,1,3
71,1.250000,0.250000,5,3,1,1
69,1.500000,0.250000,5,2,1,4
71,1.750000,0.250000,5,3,1,1
68,2.000000,0.250000,5,2,1,3
71,2.250000,0.250000,5,3,1,1
66,2.500000,0.250000,5,2,1,2
71,2.750000,0.250000,5,3,1,1
64,0.000000,0.250000,5,2,1,1
76,0.250000,0.250000,5,3,1,4
75,0.500000,0.250000,5,3,1,3
73,0.750000,0.250000,5,3,1,2
71,1.000000,0.250000,5,3,1,1
76,1.250000,0.250000,5,3,1,4
75,1.500000,0.250000,5,3,1,3
73,1.750000,0.250000,5,3,1,2
71,2.000000,0.250000,5,3,1,1
69,2.250000,0.250000,5,3,1,0
68,2.500000,0.250000,5,2,1,3
66,2.750000,0.250000,5,2,1,2
64,0.000000,0.250000,5,2,1,1
71,0.250000,0.250000,5,3,1,1
66,0.500000,0.250000,5,2,1,2
71,0.750000,0.250000,5,3,1,1
68,1.000000,0.250000,5,2,1,3
71,1.250000,0.250000,5,3,1,1
69,1.500000,0.250000,5,2,1,4
71,1.750000,0.250000,5,3,1,1
68,2.000000,0.250000,5,2,1,3
71,2.250000,0.250000,5,3,1,1
66,2.500000,0.250000,5,2,1,2
71,2.750000,0.250000,5,3,1,1
64,0.000000,0.250000,5,2,1,1
76,0.250000,0.250000,5,3,1,4
75,0.500000,0.250000,5,3,1,3
73,0.750000,0.250000,5,3,1,2
71,1.000000,0.250000,5,3,1,1
76,1.250000,0.250000,5,3,1,4
75,1.500000,0.250000,5,3,1,3
73,1.750000,0.250000,5,3,1,2
71,2.000000,0.250000,5,3,1,1
69,2.250000,0.250000,5,3,1,0
68,2.500000,0.250000,5,2,1,3
66,2.750000,0.250000,5,2,1,2
64,0.000000,0.250000,5,2,1,1
66,0.250000,0.250000,5,2,1,2
68,0.500000,0.250000,5,2,1,3
69,0.750000,0.250000,5,3,1,0
71,1.000000,0.250000,5,3,1,1
73,1.250000,0.250000,5,3,1,2
75,1.500000,0.250000,5,3,1,3
76,1.750000,0.250000,5,4,1,0
78,2.000000,0.250000,5,4,1,1
80,2.250000,0.250000,5,4,1,2
81,2.500000,0.250000,5,4,1,3
78,2.750000,0.250000,5,4,1,1
80,0.000000,0.250000,5,4,1,2
83,0.250000,0.250000,5,4,1,4
76,0.500000,0.250000,5,4,1,0
78,0.750000,0.250000,5,4,1,1
80,1.000000,0.250000,5,4,1,2
81,1.250000,0.250000,5,4,1,3
83,1.500000,0.250000,5,4,4,1
85,1.750000,0.250000,5,4,4,2
87,2.000000,0.250000,5,4,4,3
88,2.250000,0.250000,5,4,4,4
85,2.500000,0.250000,5,4,4,2
87,2.750000,0.250000,5,4,4,3
88,0.000000,0.250000,5,4,4,4
83,0.250000,0.250000,5,4,4,1
81,0.500000,0.250000,5,3,4,4
83,0.750000,0.250000,5,4,4,1
80,1.000000,0.250000,5,3,4,3
83,1.250000,0.250000,5,4,4,1
81,1.500000,0.250000,5,3,4,4
83,1.750000,0.250000,5,4,4,1
80,2.000000,0.250000,5,3,4,3
83,2.250000,0.250000,5,4,4,1
78,2.500000,0.250000,5,3,4,2
83,2.750000,0.250000,5,4,4,1
76,0.000000,0.250000,5,4,4,0
88,0.250000,0.250000,5,4,4,4
87,0.500000,0.250000,5,4,4,3
85,0.750000,0.250000,5,4,4,2
83,1.000000,0.250000,5,4,4,1
76,1.250000,0.250000,5,4,4,0
85,1.500000,0.250000,5,4,4,2
76,1.750000,0.250000,5,4,4,0
83,2.000000,0.250000,5,4,4,1
76,2.250000,0.250000,5,4,4,0
81,2.500000,0.250000,5,3,4,4
76,2.750000,0.250000,5,4,4,0
80,0.000000,0.250000,5,3,4,3
83,0.250000,0.250000,5,4,4,1
78,0.500000,0.250000,5,3,4,2
83,0.750000,0.250000,5,4,4,1
80,1.000000,0.250000,5,3,4,3
83,1.250000,0.250000,5,4,4,1
81,1.500000,0.250000,5,3,4,4
83,1.750000,0.250000,5,4,4,1
80,2.000000,0.250000,5,3,4,3
83,2.250000,0.250000,5,4,4,2
78,2.500000,0.250000,5,3,4,1
83,2.750000,0.250000,5,4,4,2
76,0.000000,0.250000,5,4,4,0
88,0.250000,0.250000,5,4,4,4
87,0.500000,0.250000,5,4,4,3
85,0.750000,0.250000,5,4,4,2
83,1.000000,0.250000,5,4,4,1
76,1.250000,0.250000,5,4,4,0
85,1.500000,0.250000,5,4,4,2
76,1.750000,0.250000,5,4,4,0
83,2.000000,0.250000,5,4,4,1
76,2.250000,0.250000,5,4,4,0
81,2.500000,0.250000,5,3,4,4
76,2.750000,0.250000,5,4,4,0
80,0.000000,0.250000,5,3,4,3
76,0.250000,0.250000,5,4,4,0
76,0.500000,0.250000,5,3,4,1
76,0.750000,0.250000,5,4,4,0
75,1.000000,0.250000,5,3,3,1
76,1.250000,0.250000,5,4,3,0
76,1.500000,0.250000,5,3,3,2
76,1.750000,0.250000,5,4,3,0
78,2.000000,0.250000,5,3,3,3
76,2.250000,0.250000,5,4,3,0
75,2.500000,0.250000,5,3,3,1
76,2.750000,0.250000,5,4,3,0
76,0.000000,0.250000,5,3,3,2
76,0.250000,0.250000,5,4,3,0
80,0.500000,0.250000,5,3,5,2
76,0.750000,0.250000,5,4,5,0
78,1.000000,0.250000,5,3,5,1
76,1.250000,0.250000,5,4,5,0
80,1.500000,0.250000,5,3,5,2
76,1.750000,0.250000,5,4,5,0
81,2.000000,0.250000,5,3,5,3
76,2.250000,0.250000,5,4,5,0
78,2.500000,0.250000,5,3,5,1
76,2.750000,0.250000,5,4,5,0
80,0.000000,0.250000,5,3,5,2
76,0.250000,0.250000,5,4,5,0
76,0.500000,0.250000,5,3,3,2
76,0.750000,0.250000,5,4,3,0
75,1.000000,0.250000,5,3,3,1
76,1.250000,0.250000,5,4,3,0
76,1.500000,0.250000,5,3,3,2
76,1.750000,0.250000,5,4,3,0
78,2.000000,0.250000,5,3,3,3
76,2.250000,0.250000,5,4,3,0
75,2.500000,0.250000,5,3,3,1
76,2.750000,0.250000,5,4,3,0
76,0.000000,0.250000,5,3,3,2
76,0.250000,0.250000,5,4,3,0
80,0.500000,0.250000,5,3,5,2
76,0.750000,0.250000,5,4,5,0
78,1.000000,0.250000,5,3,5,1
76,1.250000,0.250000,5,4,5,0
80,1.500000,0.250000,5,3,5,2
76,1.750000,0.250000,5,4,5,0
81,2.000000,0.250000,5,3,5,3
76,2.250000,0.250000,5,4,5,0
78,2.500000,0.250000,5,3,5,1
76,2.750000,0.250000,5,4,5,0
80,0.000000,0.250000,5,3,5,2
76,0.250000,0.250000,5,4,5,0
80,0.500000,0.250000,5,3,5,2
76,0.750000,0.250000,5,2,5,4
80,1.000000,0.250000,5,3,5,2
76,1.250000,0.250000,5,4,5,0
80,1.500000,0.250000,5,3,5,2
76,1.750000,0.250000,5,2,5,4
80,2.000000,0.250000,5,3,5,2
76,2.250000,0.250000,5,4,5,0
80,2.500000,0.250000,5,3,5,2
76,2.750000,0.250000,5,2,5,4
80,0.000000,0.250000,5,3,5,2
76,0.250000,0.250000,5,4,5,0
80,0.500000,0.250000,5,3,5,2
75,0.750000,0.250000,5,2,5,3
80,1.000000,0.250000,5,3,5,2
76,1.250000,0.250000,5,4,5,0
80,1.500000,0.250000,5,3,5,2
75,1.750000,0.250000,5,2,5,3
80,2.000000,0.250000,5,3,5,2
76,2.250000,0.250000,5,4,5,0
80,2.500000,0.250000,5,3,5,2
75,2.750000,0.250000,5,2,5,3
80,0.000000,0.250000,5,3,5,2
76,0.250000,0.250000,5,4,5,0
80,0.500000,0.250000,5,3,5,2
75,0.750000,0.250000,5,2,5,3
80,1.000000,0.250000,5,3,5,2
76,1.250000,0.250000,5,4,5,0
80,1.500000,0.250000,5,3,5,2
75,1.750000,0.250000,5,2,5,3
80,2.000000,0.250000,5,3,5,2
76,2.250000,0.250000,5,4,5,0
80,2.500000,0.250000,5,3,5,2
75,2.750000,0.250000,5,2,5,3
81,0.000000,0.250000,5,3,5,3
76,0.250000,0.250000,5,4,5,0
81,0.500000,0.250000,5,3,5,3
73,0.750000,0.250000,5,2,5,2
81,1.000000,0.250000,5,3,5,3
76,1.250000,0.250000,5,4,5,0
81,1.500000,0.250000,5,3,5,3
73,1.750000,0.250000,5,2,5,2
81,2.000000,0.250000,5,3,5,3
76,2.250000,0.250000,5,4,5,0
81,2.500000,0.250000,5,3,5,3
73,2.750000,0.250000,5,2,5,2
81,0.000000,0.250000,5,3,5,3
76,0.250000,0.250000,5,4,5,0
81,0.500000,0.250000,5,3,5,3
71,0.750000,0.250000,5,2,5,1
81,1.000000,0.250000,5,3,5,3
76,1.250000,0.250000,5,4,5,0
81,1.500000,0.250000,5,3,5,3
71,1.750000,0.250000,5,2,5,1
81,2.000000,0.250000,5,3,5,3
76,2.250000,0.250000,5,4,5,0
81,2.500000,0.250000,5,3,5,3
71,2.750000,0.250000,5,2,5,1
80,0.000000,0.250000,5,3,5,2
76,0.250000,0.250000,5,4,5,0
80,0.500000,0.250000,5,3,5,2
71,0.750000,0.250000,5,2,5,1
80,1.000000,0.250000,5,3,5,2
76,1.250000,0.250000,5,4,5,0
80,1.500000,0.250000,5,3,5,2
71,1.750000,0.250000,5,2,5,1
80,2.000000,0.250000,5,3,5,2
76,2.250000,0.250000,5,4,5,0
80,2.500000,0.250000,5,3,5,2
71,2.750000,0.250000,5,2,5,1
80,0.000000,0.250000,5,3,4,3
76,0.250000,0.250000,5,4,4,0
80,0.500000,0.250000,5,3,4,3
69,0.750000,0.250000,5,2,4,1
80,1.000000,0.250000,5,3,4,3
76,1.250000,0.250000,5,4,4,0
80,1.500000,0.250000,5,3,4,3
69,1.750000,0.250000,5,2,4,1
80,2.000000,0.250000,5,3,4,3
76,2.250000,0.250000,5,4,4,0
80,2.500000,0.250000,5,3,4,3
69,2.750000,0.250000,5,2,4,1
78,0.000000,0.250000,5,3,4,2
76,0.250000,0.250000,5,4,4,0
78,0.500000,0.250000,5,3,4,2
69,0.750000,0.250000,5,2,4,1
78,1.000000,0.250000,5,3,4,2
76,1.250000,0.250000,5,4,4,0
78,1.500000,0.250000,5,3,4,2
69,1.750000,0.250000,5,2,4,1
78,2.000000,0.250000,5,3,4,2
76,2.250000,0.250000,5,4,4,0
78,2.500000,0.250000,5,3,4,2
69,2.750000,0.250000,5,2,4,1
78,0.000000,0.250000,5,3,3,3
76,0.250000,0.250000,5,4,3,0
78,0.500000,0.250000,5,3,3,3
