pitch,start,duration,beat_type,string,position,finger
63,0.000000,1.500000,3,1,3,3
63,1.500000,0.500000,4,1,3,3
65,2.000000,1.000000,3,1,3,4
68,3.000000,1.000000,3,2,3,2
70,0.000000,1.000000,3,2,3,3
68,1.000000,0.500000,4,2,3,2
70,1.500000,0.500000,4,2,3,3
72,2.000000,2.000000,2,2,3,4
75,0.000000,1.500000,3,3,3,2
72,1.500000,0.500000,4,3,1,2
72,2.000000,0.500000,4,3,1,2
70,2.500000,0.500000,4,3,1,1
68,3.000000,1.000000,3,3,3,2
70,0.000000,4.000000,1,2,4,2
72,0.000000,1.500000,3,3,3,3
75,1.500000,0.500000,4,3,2,3
75,2.000000,1.000000,3,3,2,3
72,3.000000,0.500000,4,3,2,1
75,3.500000,0.500000,4,3,2,3
68,0.000000,1.500000,3,2,4,1
70,1.500000,0.500000,4,2,4,2
70,2.000000,2.000000,2,2,4,2
63,0.000000,1.500000,3,1,4,2
72,1.500000,0.500000,4,2,4,3
72,2.000000,1.000000,3,2,4,3
70,3.000000,1.000000,3,2,4,2
68,0.000000,1.500000,3,2,4,1
68,1.500000,0.500000,4,2,3,2
72,2.000000,0.250000,5,2,3,4
72,2.250000,0.250000,5,2,3,4
75,2.500000,0.250000,5,3,3,2
75,2.750000,0.250000,5,3,3,2
77,3.000000,0.250000,5,3,3,3
77,3.250000,0.250000,5,3,3,3
80,3.500000,0.250000,5,4,3,1
80,3.750000,0.250000,5,4,3,1
82,0.000000,1.000000,3,4,3,2
82,1.000000,0.097656,6,4,3,2
84,1.097656,0.101562,6,4,3,3
82,1.199219,0.097656,6,4,3,2
80,1.296875,0.101562,6,4,3,1
82,1.398438,0.101562,6,4,3,2
84,1.500000,0.500000,4,4,3,3
84,2.000000,1.000000,3,4,3,3
82,3.000000,0.500000,4,4,3,2
80,3.500000,0.500000,4,4,3,1
77,0.000000,1.000000,3,3,3,3
75,1.000000,0.500000,4,3,3,2
77,1.500000,0.500000,4,3,4,2
80,2.000000,2.000000,2,3,4,4
65,0.000000,0.500000,4,1,2,3
73,0.500000,1.000000,3,2,2,1
68,1.500000,0.500000,4,1,3,3
70,2.000000,1.000000,3,1,3,2
72,3.000000,1.000000,3,2,2,1
75,0.000000,2.000000,2,3,3,2
75,2.000000,0.500000,4,3,3,2
77,2.500000,1.000000,3,3,3,3
75,3.500000,0.500000,4,3,3,2
75,0.000000,0.500000,4,3,3,2
75,0.500000,0.500000,4,3,3,2
75,1.000000,0.500000,4,3,3,2
75,1.500000,0.500000,4,3,3,2
77,2.000000,1.000000,3,3,3,3
75,3.000000,0.500000,4,3,3,2
72,3.500000,0.500000,4,3,1,2
72,0.000000,1.000000,3,3,1,2
70,1.000000,0.500000,4,3,1,1
68,1.500000,0.500000,4,2,1,4
65,2.000000,2.000000,2,2,1,2
63,0.000000,1.500000,3,2,1,1
72,1.500000,0.500000,4,2,4,3
72,2.000000,1.000000,3,2,4,3
70,3.000000,1.000000,3,2,4,2
68,0.000000,4.000000,1,2,4,1
63,0.000000,1.500000,3,2,1,1
63,1.500000,0.500000,4,2,1,1
65,2.000000,1.000000,3,2,1,2
68,3.000000,1.000000,3,2,3,2
70,0.000000,0.750000,4,2,3,3
72,0.750000,0.125000,6,2,3,4
70,0.875000,0.125000,6,2,3,3
68,1.000000,0.500000,4,2,3,2
70,1.500000,0.500000,4,2,3,3
72,2.000000,0.750000,4,2,3,4
77,2.750000,0.250000,5,3,3,3
75,3.000000,0.250000,5,3,3,2
72,3.250000,0.250000,5,2,3,4
75,3.500000,0.250000,5,3,3,2
77,3.750000,0.250000,5,3,3,3
79,0.000000,0.500000,4,3,5,2
87,0.500000,1.000000,3,4,5,3
84,1.500000,0.500000,4,4,5,1
84,2.000000,0.250000,5,4,3,3
85,2.250000,0.250000,5,4,3,4
84,2.500000,0.250000,5,4,3,3
82,2.750000,0.250000,5,4,3,2
80,3.000000,0.250000,5,4,3,1
84,3.250000,0.250000,5,4,3,3
80,3.500000,0.250000,5,4,3,1
77,3.750000,0.250000,5,3,3,3
80,0.000000,0.500000,4,4,3,1
82,0.500000,1.000000,3,4,3,2
77,1.500000,0.500000,4,3,3,3
82,2.000000,1.500000,3,4,3,2
83,3.500000,0.500000,4,4,3,2
84,0.000000,1.500000,3,4,5,1
87,1.500000,0.500000,4,4,5,3
89,2.000000,0.500000,4,4,5,4
87,2.500000,0.500000,4,4,5,3
84,3.000000,0.500000,4,4,5,1
87,3.500000,0.500000,4,4,5,3
80,0.000000,1.500000,3,4,3,1
82,1.500000,0.500000,4,4,3,2
82,2.000000,2.000000,2,4,3,2
63,0.250000,0.250000,5,2,1,1
65,0.500000,0.250000,5,2,1,2
68,0.750000,0.250000,5,2,1,4
70,1.000000,0.250000,5,3,1,1
72,1.250000,0.250000,5,3,1,2
77,1.500000,0.250000,5,3,2,4
75,1.750000,0.250000,5,3,2,3
72,2.000000,0.250000,5,3,2,1
73,2.250000,0.250000,5,3,2,2
77,2.500000,0.250000,5,3,2,4
80,2.750000,0.250000,5,4,2,2
84,3.000000,0.750000,4,4,2,4
82,3.750000,0.250000,5,4,2,3
82,0.000000,1.500000,3,4,2,3
80,1.500000,0.500000,4,4,2,2
80,2.000000,2.000000,2,4,2,2
70,0.000000,1.500000,3,3,1,1
70,1.500000,0.500000,4,3,1,2
72,2.000000,1.000000,3,3,1,2
70,3.000000,0.500000,4,3,1,1
68,3.500000,0.500000,4,2,1,4
65,0.000000,0.750000,4,2,1,2
77,0.750000,0.250000,5,3,3,3
75,1.000000,0.500000,4,3,3,2
77,1.500000,0.500000,4,3,4,2
80,2.000000,2.000000,2,3,4,4
77,0.000000,0.250000,5,3,3,3
68,0.250000,0.250000,5,2,3,2
73,0.500000,0.250000,5,3,3,1
75,0.750000,0.250000,5,3,3,2
77,1.000000,0.250000,5,3,4,2
68,1.250000,0.250000,5,2,4,1
80,1.500000,0.250000,5,3,4,4
68,1.750000,0.250000,5,2,4,1
82,2.000000,0.250000,5,3,5,4
70,2.250000,0.250000,5,2,5,1
74,2.500000,0.250000,5,3,5,3
77,2.750000,0.250000,5,4,5,1
84,3.000000,0.250000,5,3,5,1
77,3.250000,0.250000,5,3,5,1
86,3.500000,0.250000,5,4,5,2
77,3.750000,0.250000,5,3,5,1
87,0.000000,1.500000,3,4,4,4
75,1.500000,0.500000,4,3,4,1
75,2.000000,0.500000,4,3,4,1
77,2.500000,0.250000,5,3,4,2
79,2.750000,0.250000,5,3,4,3
80,3.000000,0.125000,6,3,4,4
80,3.125000,0.125000,6,3,4,4
82,3.250000,0.125000,6,4,4,1
82,3.375000,0.125000,6,4,4,1
84,3.500000,0.125000,6,4,5,1
84,3.625000,0.125000,6,4,5,1
85,3.750000,0.125000,6,4,5,2
85,3.875000,0.125000,6,4,5,2
87,0.000000,1.500000,3,4,7,1
87,1.500000,0.500000,4,4,7,1
89,2.000000,1.000000,3,4,7,2
87,3.000000,0.500000,4,4,7,1
84,3.500000,0.500000,4,4,5,1
84,0.000000,1.000000,3,4,5,1
82,1.000000,0.500000,4,4,3,2
80,1.500000,0.500000,4,4,3,1
77,2.000000,2.000000,2,3,3,3
75,0.000000,0.500000,4,3,3,2
63,0.500000,1.000000,3,2,1,1
72,1.500000,0.500000,4,2,4,3
72,2.000000,0.750000,4,2,4,3
77,2.750000,0.250000,5,3,4,2
75,3.000000,0.750000,4,3,4,1
77,3.750000,0.250000,5,3,4,2
80,0.000000,4.000000,1,3,4,4
68,3.500000,0.500000,4,4,1,3
80,0.000000,1.000000,3,4,1,3
79,1.000000,0.500000,4,4,1,2
80,1.500000,0.500000,4,4,3,1
82,2.500000,1.000000,3,4,4,1
84,3.500000,0.500000,4,4,4,2
87,0.000000,4.000000,1,4,4,4
87,0.000000,4.000000,1,4,4,4
