pitch,start,duration,beat_type,string,position,finger
64,0.000000,2.000000,2,1,3,3
69,2.000000,2.000000,2,2,3,2
73,0.000000,3.000000,2,2,3,4
69,3.000000,1.000000,3,2,3,2
71,0.000000,1.000000,3,2,3,3
71,1.000000,1.000000,3,2,3,3
69,2.000000,0.500000,4,2,1,4
68,2.500000,0.500000,4,2,1,3
66,3.000000,0.500000,4,2,1,2
68,3.500000,0.500000,4,2,1,3
69,0.000000,3.000000,2,2,1,4
64,3.000000,1.000000,3,2,1,1
64,0.000000,1.000000,3,2,1,1
69,1.000000,2.000000,2,2,3,2
73,3.000000,1.000000,3,2,3,4
76,0.000000,2.000000,2,3,3,2
76,2.000000,0.500000,4,3,3,2
77,2.500000,0.500000,4,3,3,3
78,3.000000,0.500000,4,3,2,4
73,3.500000,0.500000,4,3,2,1
76,0.000000,0.500000,4,3,2,3
74,0.500000,0.500000,4,3,2,2
76,1.000000,0.500000,4,3,2,3
71,1.500000,0.500000,4,3,1,1
74,2.000000,0.500000,4,3,1,3
73,2.500000,0.500000,4,3,1,2
76,3.000000,0.500000,4,3,1,4
74,3.500000,0.500000,4,3,1,3
73,0.000000,2.000000,2,3,1,2
71,2.000000,1.000000,3,3,1,1
57,0.000000,2.000000,2,1,1,1
61,2.000000,2.000000,2,1,1,3
64,0.000000,4.000000,1,2,1,1
64,0.000000,1.000000,3,2,1,1
69,1.000000,1.000000,3,2,1,4
64,2.000000,1.000000,3,2,1,1
61,3.000000,1.000000,3,1,1,3
57,0.000000,1.000000,3,1,1,1
57,2.000000,1.000000,3,1,1,1
61,3.000000,1.000000,3,1,3,1
64,0.000000,2.000000,2,1,3,3
64,2.000000,0.500000,4,1,3,3
61,2.500000,0.500000,4,1,3,1
66,3.000000,0.500000,4,1,3,4
61,3.500000,0.500000,4,1,3,1
62,0.000000,0.500000,4,1,3,2
59,0.500000,0.500000,4,1,2,1
64,1.000000,0.500000,4,1,2,4
59,1.500000,0.500000,4,1,2,1
64,2.000000,0.500000,4,1,2,4
57,2.500000,0.500000,4,1,1,1
61,3.000000,0.500000,4,1,1,3
59,3.500000,0.500000,4,1,1,2
57,0.000000,2.000000,2,1,1,1
56,2.000000,1.000000,3,1,1,1
71,3.000000,1.000000,3,3,1,2
71,0.000000,2.000000,2,3,1,2
71,2.000000,1.000000,3,3,1,2
71,3.000000,1.000000,3,3,1,2
71,0.000000,2.000000,2,3,1,2
71,2.000000,0.500000,4,3,1,2
73,2.500000,0.500000,4,3,2,1
75,3.000000,0.500000,4,3,2,2
76,3.500000,0.375000,5,3,2,3
76,3.875000,0.125000,6,3,2,3
75,0.000000,1.000000,3,3,2,2
75,1.000000,0.875000,4,3,2,2
76,1.875000,0.125000,6,3,2,3
75,2.000000,0.500000,4,3,2,2
73,2.500000,0.500000,4,3,2,1
75,3.000000,0.500000,4,3,2,2
78,3.500000,0.500000,4,3,2,4
76,0.000000,3.000000,2,3,2,3
76,3.000000,1.000000,3,3,2,3
76,0.000000,2.000000,2,3,2,3
76,2.000000,1.000000,3,3,2,3
76,3.000000,1.000000,3,3,2,3
76,0.000000,1.000000,3,4,1,0
81,1.000000,2.000000,2,4,1,3
78,3.000000,0.500000,4,4,1,1
74,3.500000,0.500000,4,3,1,3
73,0.000000,1.000000,3,3,1,2
73,1.000000,0.250000,5,3,1,2
76,1.250000,0.750000,4,3,1,4
74,2.000000,0.250000,5,3,1,3
76,2.250000,0.750000,4,3,1,4
71,3.000000,0.250000,5,3,1,1
76,3.250000,0.750000,4,3,1,4
76,0.000000,1.000000,3,3,1,4
69,1.000000,0.500000,4,3,1,0
69,0.000000,4.000000,1,2,1,4
68,0.000000,4.000000,1,2,1,3
69,0.000000,1.000000,3,2,1,4
59,1.000000,2.000000,2,1,1,2
57,3.000000,1.000000,3,1,1,1
56,0.000000,0.500000,4,1,1,1
68,0.500000,0.500000,4,2,2,2
71,1.000000,0.500000,4,2,2,4
69,1.500000,0.500000,4,2,2,3
68,2.000000,0.500000,4,2,2,2
69,2.500000,0.500000,4,3,1,0
71,3.000000,0.500000,4,3,1,1
73,3.500000,0.500000,4,3,1,2
74,0.000000,0.500000,4,3,1,3
73,0.500000,0.500000,4,3,1,2
74,1.000000,0.500000,4,3,1,3
73,1.500000,0.500000,4,3,1,2
74,2.000000,0.500000,4,3,1,3
73,2.500000,0.500000,4,3,1,2
74,3.000000,0.500000,4,3,1,3
71,3.500000,0.500000,4,3,1,1
73,0.000000,0.500000,4,3,1,2
69,0.500000,0.500000,4,3,1,0
64,1.000000,0.500000,4,2,1,1
61,1.500000,0.500000,4,1,1,3
64,2.000000,0.500000,4,2,1,1
61,2.500000,0.500000,4,1,1,3
66,3.000000,0.500000,4,2,1,2
69,3.500000,0.500000,4,2,1,4
69,0.000000,0.500000,4,2,1,4
64,0.500000,0.500000,4,2,1,1
64,1.000000,0.500000,4,2,1,1
61,1.500000,0.500000,4,1,1,3
64,2.000000,0.500000,4,2,1,1
62,2.500000,0.500000,4,2,1,0
64,3.000000,0.500000,4,2,1,1
59,3.500000,0.500000,4,1,1,2
64,0.000000,1.000000,3,2,1,1
76,0.000000,0.332031,4,4,1,0
81,0.332031,0.332031,4,4,1,3
80,0.664062,0.335938,4,4,1,2
81,1.000000,0.332031,4,4,1,3
76,1.332031,0.332031,4,4,1,0
74,1.664062,0.335938,4,3,1,3
73,2.000000,0.332031,4,3,1,2
76,2.332031,0.332031,4,3,1,4
75,2.664062,0.335938,4,3,1,3
76,3.000000,0.332031,4,3,1,4
73,3.332031,0.332031,4,3,1,2
71,3.664062,0.335938,4,3,1,1
69,0.000000,1.000000,3,3,1,0
64,0.000000,0.332031,4,2,1,1
76,0.332031,0.332031,4,4,1,0
78,0.664062,0.335938,4,4,1,1
80,1.000000,0.332031,4,4,1,2
80,1.332031,0.332031,4,4,1,2
81,1.664062,0.335938,4,4,3,1
83,2.000000,0.332031,4,4,3,2
83,2.332031,0.332031,4,4,3,2
85,2.664062,0.335938,4,4,3,3
86,3.000000,0.332031,4,4,3,4
83,3.332031,0.332031,4,4,3,2
