pitch,start,duration,beat_type,string,position,finger
74,2.000000,1.500000,3,3,1,3
74,3.500000,0.500000,4,3,1,3
74,0.000000,2.000000,2,3,1,3
71,2.000000,1.000000,3,3,3,1
79,3.000000,1.000000,3,3,3,4
79,0.000000,2.000000,2,3,3,4
74,2.000000,1.000000,3,3,3,1
83,3.000000,1.000000,3,4,3,2
81,0.000000,1.000000,3,4,3,1
79,1.000000,1.000000,3,3,3,4
76,2.000000,1.000000,3,3,3,2
79,3.000000,1.000000,3,3,3,4
74,0.000000,3.000000,2,3,3,1
55,3.000000,1.000000,3,1,3,0
57,0.000000,0.332031,4,1,1,1
61,0.332031,0.332031,4,1,1,4
64,0.664062,0.335938,4,2,1,1
69,1.000000,0.332031,4,3,1,0
73,1.332031,0.332031,4,3,1,2
76,1.664062,0.335938,4,4,1,0
79,2.000000,1.000000,3,4,1,2
79,3.000000,0.332031,4,4,1,2
78,3.332031,0.332031,4,4,1,1
76,3.664062,0.335938,4,4,1,0
74,0.000000,3.000000,2,3,1,3
55,3.000000,1.000000,3,1,1,0
57,0.000000,0.332031,4,1,1,1
61,0.332031,0.332031,4,1,1,4
64,0.664062,0.335938,4,2,1,1
69,1.000000,0.332031,4,3,1,0
73,1.332031,0.332031,4,3,1,2
76,1.664062,0.335938,4,4,1,0
81,2.000000,0.332031,4,4,3,1
85,2.332031,0.332031,4,4,5,1
88,2.664062,0.335938,4,4,6,2
91,3.000000,0.332031,4,4,6,4
90,3.332031,0.332031,4,4,5,4
88,3.664062,0.335938,4,4,5,3
86,0.000000,3.000000,2,4,5,2
62,3.000000,1.000000,3,1,1,4
55,0.000000,0.332031,4,1,1,0
59,0.332031,0.332031,4,1,1,2
62,0.664062,0.335938,4,2,1,0
67,1.000000,0.332031,4,2,1,3
71,1.332031,0.332031,4,3,1,1
74,1.664062,0.335938,4,3,1,3
77,2.000000,0.332031,4,4,1,1
76,2.332031,0.332031,4,4,1,0
77,2.664062,0.335938,4,4,1,1
81,3.000000,0.332031,4,4,1,3
79,3.332031,0.332031,4,4,1,2
77,3.664062,0.335938,4,4,1,1
76,0.000000,0.332031,4,4,1,0
77,0.332031,0.332031,4,4,1,1
79,0.664062,0.335938,4,4,1,2
81,1.000000,0.332031,4,4,3,1
83,1.332031,0.332031,4,4,3,2
84,1.664062,0.335938,4,4,3,3
86,2.000000,0.332031,4,4,5,2
85,2.332031,0.332031,4,4,5,1
86,2.664062,0.335938,4,4,5,2
89,3.000000,0.332031,4,4,5,4
88,3.332031,0.332031,4,4,5,3
86,3.664062,0.335938,4,4,5,2
84,0.000000,0.332031,4,4,5,1
81,0.332031,0.332031,4,4,3,1
83,0.664062,0.335938,4,4,3,2
84,1.000000,0.332031,4,4,3,3
83,1.332031,0.332031,4,4,3,2
81,1.664062,0.335938,4,4,3,1
85,2.000000,0.332031,4,4,3,3
81,2.332031,0.332031,4,4,3,1
83,2.664062,0.335938,4,4,3,2
85,3.000000,0.332031,4,4,3,3
83,3.332031,0.332031,4,4,3,2
81,3.664062,0.335938,4,4,3,1
86,0.000000,0.332031,4,4,3,4
81,0.332031,0.332031,4,4,3,1
78,0.664062,0.335938,4,3,3,3
74,1.000000,0.332031,4,3,3,1
69,1.332031,0.332031,4,3,1,0
66,1.664062,0.335938,4,2,1,2
62,2.000000,0.332031,4,2,1,0
66,2.332031,0.332031,4,2,1,2
69,2.664062,0.335938,4,3,1,0
74,3.000000,0.332031,4,3,3,1
76,3.332031,0.332031,4,3,3,2
78,3.664062,0.335938,4,3,3,3
79,0.000000,1.000000,3,3,3,4
79,1.000000,0.332031,4,3,6,1
83,1.332031,0.332031,4,3,6,3
86,1.664062,0.335938,4,4,6,1
91,2.000000,0.332031,4,4,6,4
86,2.332031,0.332031,4,4,5,2
83,2.664062,0.335938,4,3,5,4
81,3.000000,0.332031,4,3,5,3
84,3.332031,0.332031,4,4,5,1
90,3.664062,0.335938,4,4,5,4
88,0.000000,0.332031,4,4,5,3
83,0.332031,0.332031,4,4,3,2
79,0.664062,0.335938,4,3,3,4
78,1.000000,0.332031,4,3,3,3
81,1.332031,0.332031,4,4,3,1
86,1.664062,0.335938,4,4,3,4
84,2.000000,0.332031,4,4,3,3
79,2.332031,0.332031,4,3,3,4
76,2.664062,0.335938,4,3,3,2
74,3.000000,0.332031,4,3,3,1
77,3.332031,0.332031,4,3,3,3
83,3.664062,0.335938,4,4,3,2
81,0.000000,0.332031,4,4,3,1
76,0.332031,0.332031,4,4,1,0
72,0.664062,0.335938,4,3,1,2
71,1.000000,0.332031,4,3,1,1
74,1.332031,0.332031,4,3,1,3
79,1.664062,0.335938,4,4,1,2
78,2.000000,0.332031,4,4,1,1
72,2.332031,0.332031,4,3,1,2
69,2.664062,0.335938,4,3,1,0
67,3.000000,0.332031,4,2,1,3
70,3.332031,0.332031,4,3,1,1
76,3.664062,0.335938,4,3,1,4
74,0.000000,0.332031,4,3,1,3
69,0.332031,0.332031,4,2,1,4
66,0.664062,0.335938,4,2,1,2
62,1.000000,0.332031,4,2,1,0
66,1.332031,0.332031,4,2,1,2
69,1.664062,0.335938,4,2,1,4
62,2.000000,0.332031,4,2,1,0
66,2.332031,0.332031,4,2,1,2
69,2.664062,0.335938,4,3,1,0
74,3.000000,0.332031,4,3,3,1
76,3.332031,0.332031,4,3,3,2
78,3.664062,0.335938,4,3,3,3
79,0.000000,1.000000,3,3,3,4
79,1.000000,0.332031,4,3,6,1
83,1.332031,0.332031,4,3,6,3
86,1.664062,0.335938,4,4,6,1
91,2.000000,0.332031,4,4,6,4
86,2.332031,0.332031,4,4,5,2
83,2.664062,0.335938,4,3,5,4
81,3.000000,0.332031,4,3,5,3
84,3.332031,0.332031,4,4,5,1
90,3.664062,0.335938,4,4,5,4
88,0.000000,0.332031,4,4,5,3
83,0.332031,0.332031,4,4,3,2
79,0.664062,0.335938,4,3,3,4
78,1.000000,0.332031,4,3,3,3
81,1.332031,0.332031,4,4,3,1
86,1.664062,0.335938,4,4,3,4
84,2.000000,0.332031,4,4,3,3
79,2.332031,0.332031,4,3,3,4
76,2.664062,0.335938,4,3,3,2
74,3.000000,0.332031,4,3,3,1
77,3.332031,0.332031,4,3,3,3
83,3.664062,0.335938,4,4,3,2
81,0.000000,0.332031,4,4,3,1
76,0.332031,0.332031,4,4,1,0
72,0.664062,0.335938,4,3,1,2
71,1.000000,0.332031,4,3,1,1
74,1.332031,0.332031,4,3,1,3
79,1.664062,0.335938,4,4,1,2
78,2.000000,0.332031,4,4,1,1
72,2.332031,0.332031,4,3,1,2
69,2.664062,0.335938,4,3,1,0
67,3.000000,0.332031,4,2,1,3
70,3.332031,0.332031,4,3,1,1
76,3.664062,0.335938,4,3,1,4
74,0.000000,0.332031,4,3,1,3
69,0.332031,0.332031,4,2,1,4
66,0.664062,0.335938,4,2,1,2
62,1.000000,0.332031,4,2,1,0
66,1.332031,0.332031,4,2,1,2
69,1.664062,0.335938,4,2,1,4
62,2.000000,0.332031,4,2,1,0
66,2.332031,0.332031,4,2,1,2
69,2.664062,0.335938,4,3,1,0
74,3.000000,0.332031,4,3,3,1
76,3.332031,0.332031,4,3,3,2
78,3.664062,0.335938,4,3,3,3
79,0.000000,0.332031,4,3,3,4
86,0.332031,0.332031,4,4,3,4
84,0.664062,0.335938,4,4,3,3
83,1.000000,0.332031,4,4,3,2
81,1.332031,0.332031,4,4,3,1
79,1.664062,0.335938,4,3,3,4
77,2.000000,0.332031,4,3,3,3
76,2.332031,0.332031,4,3,3,2
74,2.664062,0.335938,4,3,3,1
72,3.000000,0.332031,4,2,3,4
71,3.332031,0.332031,4,2,3,3
69,3.664062,0.335938,4,2,3,2
67,0.000000,0.332031,4,2,3,1
67,0.332031,0.332031,4,2,3,1
72,0.664062,0.335938,4,2,3,4
76,1.000000,0.332031,4,3,3,2
79,1.332031,0.332031,4,3,3,4
84,1.664062,0.335938,4,4,3,3
84,2.000000,1.000000,3,4,3,3
83,3.000000,0.500000,4,4,3,2
69,0.000000,0.332031,4,3,3,0
74,0.332031,0.332031,4,3,3,1
78,0.664062,0.335938,4,3,3,3
81,1.000000,0.332031,4,4,3,1
84,1.332031,0.332031,4,4,4,2
88,1.664062,0.335938,4,4,4,4
88,2.000000,1.000000,3,4,4,4
86,3.000000,0.500000,4,4,4,3
55,0.000000,0.332031,4,1,3,0
67,0.332031,0.332031,4,2,3,1
72,0.664062,0.335938,4,2,3,4
76,1.000000,0.332031,4,3,3,2
79,1.332031,0.332031,4,3,3,4
84,1.664062,0.335938,4,4,3,3
84,2.000000,1.000000,3,4,3,3
83,3.000000,0.500000,4,4,3,2
69,0.000000,0.332031,4,3,3,0
74,0.332031,0.332031,4,3,3,1
78,0.664062,0.335938,4,3,3,3
81,1.000000,0.332031,4,4,3,1
84,1.332031,0.332031,4,4,4,2
88,1.664062,0.335938,4,4,4,4
88,2.000000,1.000000,3,4,4,4
86,3.000000,0.500000,4,4,4,3
55,0.000000,0.332031,4,1,3,0
71,0.332031,0.332031,4,2,3,3
74,0.664062,0.335938,4,3,3,1
79,1.000000,0.332031,4,3,3,4
