pitch,start,duration,beat_type,string,position,finger
74,0.000000,1.500000,3,3,3,1
74,0.000000,0.500000,4,3,3,1
79,0.500000,0.500000,4,3,3,4
83,1.000000,0.500000,4,4,3,2
81,0.000000,0.500000,4,4,1,3
79,0.500000,0.500000,4,4,1,2
79,1.000000,0.500000,4,4,1,2
79,0.000000,0.500000,4,4,1,2
76,0.000000,1.500000,3,3,3,2
76,0.000000,0.500000,4,3,3,2
79,0.500000,0.500000,4,3,3,4
76,1.000000,0.500000,4,3,3,2
73,0.000000,0.500000,4,3,2,1
74,0.500000,0.500000,4,3,2,2
74,1.000000,0.500000,4,3,2,2
74,0.000000,0.500000,4,3,2,2
74,0.000000,0.500000,4,3,2,2
69,0.500000,0.500000,4,3,1,0
74,0.000000,0.500000,4,3,1,3
71,0.500000,0.500000,4,3,1,1
74,0.000000,0.500000,4,3,1,3
72,0.500000,0.500000,4,3,1,2
72,1.000000,0.500000,4,3,1,2
78,0.000000,1.000000,3,4,1,1
76,1.000000,0.250000,5,4,1,0
78,1.250000,0.250000,5,4,1,1
79,0.000000,0.250000,5,4,1,2
81,0.250000,0.250000,5,4,1,3
83,0.500000,0.250000,5,4,1,4
79,0.750000,0.250000,5,4,1,2
74,1.000000,0.500000,4,3,1,3
76,0.000000,0.250000,5,4,1,0
78,0.250000,0.250000,5,4,1,1
79,0.500000,0.250000,5,4,1,2
76,0.750000,0.250000,5,4,1,0
72,1.000000,0.500000,4,3,1,2
71,0.000000,1.500000,3,3,1,1
69,0.000000,0.500000,4,3,1,0
71,0.500000,0.500000,4,3,1,1
72,1.000000,0.500000,4,3,1,2
73,0.000000,0.500000,4,3,1,2
74,0.500000,1.000000,3,3,1,3
74,0.000000,0.500000,4,3,1,3
79,0.500000,0.500000,4,4,1,2
83,1.000000,0.500000,4,4,1,4
81,0.000000,0.500000,4,4,1,3
79,0.500000,0.500000,4,4,1,2
79,1.000000,0.500000,4,4,1,2
79,0.000000,0.500000,4,4,1,2
76,0.000000,1.500000,3,3,3,2
76,0.000000,0.500000,4,3,3,2
79,0.500000,0.500000,4,3,3,4
76,1.000000,0.500000,4,3,3,2
