pitch,start,duration,beat_type,string,position,finger
62,0.000000,0.500000,4,1,3,2
64,0.500000,0.500000,4,1,3,3
62,1.000000,1.000000,3,1,3,2
71,2.000000,1.000000,3,2,3,3
71,0.000000,0.500000,4,2,3,3
69,0.500000,0.375000,5,2,3,2
67,0.875000,0.250000,5,2,3,1
69,1.125000,0.250000,5,2,3,2
67,1.375000,0.500000,4,2,3,1
64,1.875000,0.500000,4,1,3,3
62,2.375000,1.000000,3,1,3,2
67,0.000000,0.500000,4,2,3,1
69,0.500000,0.500000,4,2,3,2
71,1.000000,1.000000,3,2,3,3
74,2.000000,0.500000,4,2,4,4
67,2.500000,0.250000,5,2,3,1
69,2.750000,0.250000,5,2,3,2
71,0.000000,0.500000,4,2,3,3
71,0.500000,0.250000,5,2,3,3
69,0.750000,0.250000,5,2,3,2
69,1.000000,2.000000,2,2,3,2
74,0.000000,0.500000,4,3,3,1
74,0.500000,0.500000,4,3,3,1
74,1.000000,0.500000,4,3,3,1
71,1.500000,0.250000,5,3,1,1
74,1.750000,0.250000,5,3,1,3
71,2.000000,1.000000,3,3,1,1
71,0.000000,0.500000,4,2,3,3
69,0.500000,0.250000,5,2,3,2
71,0.750000,0.250000,5,2,3,3
69,1.000000,0.500000,4,2,3,2
67,1.500000,0.500000,4,2,3,1
64,2.000000,1.000000,3,1,3,3
62,0.000000,0.500000,4,1,3,2
64,0.500000,0.500000,4,1,3,3
62,1.000000,1.000000,3,1,3,2
71,2.000000,1.000000,3,2,3,3
71,0.000000,0.500000,4,2,3,3
69,0.500000,0.500000,4,2,3,2
67,1.000000,2.000000,2,2,3,1
74,0.000000,0.500000,4,3,3,1
76,0.500000,0.500000,4,3,3,2
74,1.000000,1.000000,3,3,3,1
83,2.000000,1.000000,3,4,3,2
83,0.000000,0.500000,4,4,3,2
81,0.500000,0.375000,5,4,3,1
79,0.875000,0.250000,5,4,2,1
81,1.125000,0.250000,5,4,2,2
79,1.375000,0.500000,4,4,2,1
76,1.875000,0.500000,4,3,2,3
74,2.375000,1.000000,3,3,2,2
79,0.000000,0.500000,4,4,2,1
81,0.500000,0.500000,4,4,3,1
83,1.000000,1.000000,3,4,3,2
86,2.000000,0.500000,4,4,4,3
79,2.500000,0.250000,5,4,2,1
81,2.750000,0.250000,5,4,2,2
83,0.000000,0.500000,4,4,2,3
83,0.500000,0.250000,5,4,2,3
81,0.750000,0.250000,5,4,2,2
81,1.000000,2.000000,2,4,2,2
86,0.000000,0.500000,4,4,3,4
86,0.500000,0.500000,4,4,3,4
86,1.000000,0.500000,4,4,3,4
83,1.500000,0.250000,5,4,3,2
86,1.750000,0.250000,5,4,3,4
83,2.000000,1.000000,3,4,3,2
83,0.000000,0.500000,4,4,3,2
81,0.500000,0.250000,5,4,3,1
83,0.750000,0.250000,5,4,3,2
81,1.000000,0.500000,4,4,3,1
79,1.500000,0.500000,4,3,3,4
76,2.000000,1.000000,3,3,3,2
74,0.000000,0.500000,4,3,3,1
76,0.500000,0.500000,4,3,3,2
74,1.000000,1.000000,3,3,3,1
83,2.000000,1.000000,3,4,3,2
83,0.000000,0.500000,4,4,3,2
81,0.500000,0.500000,4,4,2,2
79,1.000000,2.000000,2,4,2,1
64,1.332031,0.332031,4,2,1,1
67,1.664062,0.335938,4,2,1,3
72,2.000000,0.332031,4,3,1,2
76,2.332031,0.332031,4,3,1,4
81,2.664062,0.335938,4,4,1,3
79,0.000000,1.000000,3,4,1,2
79,1.000000,0.664062,3,4,1,2
74,1.664062,0.335938,4,3,3,1
76,2.000000,0.332031,4,3,3,2
79,2.332031,0.332031,4,3,3,4
83,2.664062,0.335938,4,4,3,2
86,0.000000,1.000000,3,4,6,1
88,1.000000,1.000000,3,4,6,2
91,2.000000,1.000000,3,4,7,2
93,0.000000,1.000000,3,4,7,3
93,1.000000,0.664062,4,4,7,4
62,1.664062,0.335938,4,2,1,0
64,2.000000,0.250000,5,2,1,1
66,2.250000,0.250000,5,2,1,2
67,2.500000,0.250000,5,2,1,3
69,2.750000,0.250000,5,3,1,0
71,0.000000,1.000000,3,3,1,1
71,1.000000,0.332031,4,3,1,1
74,1.332031,0.332031,4,3,3,1
76,1.664062,0.335938,4,3,3,2
76,2.000000,0.500000,4,3,3,2
74,2.500000,0.500000,4,3,3,1
71,0.000000,1.000000,3,2,3,3
67,1.000000,0.332031,4,2,3,1
71,1.332031,0.332031,4,2,3,3
67,1.664062,0.335938,4,2,3,1
69,2.000000,0.500000,4,2,3,2
67,2.500000,0.500000,4,2,3,1
64,0.000000,1.000000,3,1,3,3
62,1.000000,0.332031,4,2,1,0
66,1.332031,0.332031,4,2,1,2
69,1.664062,0.335938,4,3,1,0
74,2.000000,1.000000,3,3,1,3
74,0.000000,0.500000,4,3,3,3
72,0.500000,0.500000,4,3,3,2
71,1.000000,2.000000,2,3,3,1
74,0.000000,0.500000,4,2,3,3
76,0.500000,0.500000,4,2,3,3
74,1.000000,1.000000,3,2,3,3
83,2.000000,1.000000,3,3,3,2
83,0.000000,0.500000,4,3,3,2
81,0.500000,0.500000,4,3,2,2
71,1.000000,0.500000,4,4,1,2
76,1.500000,0.500000,4,3,3,2
74,2.000000,1.000000,3,2,3,3
79,0.000000,0.500000,4,3,1,1
81,0.500000,0.500000,4,3,3,1
83,1.000000,1.000000,3,3,3,4
86,2.000000,0.500000,4,3,3,1
79,2.500000,0.250000,5,4,3,0
81,2.750000,0.250000,5,3,3,3
83,0.000000,0.500000,4,3,3,4
83,0.500000,0.250000,5,3,3,4
81,0.750000,0.250000,5,3,3,3
81,1.000000,2.000000,2,3,3,3
86,0.000000,0.500000,4,3,5,4
86,0.500000,0.500000,4,3,5,4
86,1.000000,0.500000,4,3,5,4
83,1.500000,0.250000,5,3,3,1
86,1.750000,0.250000,5,4,3,4
83,2.000000,1.000000,3,3,3,4
83,0.000000,0.500000,4,4,1,4
83,0.500000,0.250000,5,3,1,4
83,0.750000,0.250000,5,4,1,4
81,1.000000,0.500000,4,4,1,3
79,1.500000,0.500000,4,4,1,2
76,2.000000,1.000000,3,4,1,0
74,0.000000,0.332031,4,2,1,0
74,0.332031,0.332031,4,2,1,2
76,0.664062,0.335938,4,4,1,0
74,1.000000,1.000000,3,2,3,4
83,2.000000,1.000000,3,4,3,3
83,0.000000,0.332031,4,4,3,2
83,0.332031,0.332031,4,4,3,2
81,0.664062,0.335938,4,4,1,3
79,1.000000,2.000000,2,4,1,2
62,0.000000,0.500000,4,1,3,2
64,0.500000,0.500000,4,1,3,3
62,1.000000,1.000000,3,1,3,2
71,2.000000,1.000000,3,2,3,3
71,0.000000,0.500000,4,2,3,3
69,0.500000,0.375000,5,2,3,2
67,0.875000,0.250000,5,2,3,2
69,1.125000,0.250000,5,2,3,2
67,1.375000,0.500000,4,2,3,1
64,1.875000,0.500000,4,1,3,3
62,2.375000,1.000000,3,1,3,2
67,0.000000,0.500000,4,2,3,1
69,0.500000,0.500000,4,2,3,2
71,1.000000,1.000000,3,2,3,3
74,2.000000,0.500000,4,2,5,3
67,2.500000,0.250000,5,2,3,1
69,2.750000,0.250000,5,2,3,2
71,0.000000,0.500000,4,2,3,3
71,0.500000,0.250000,5,2,3,3
69,0.750000,0.250000,5,2,3,2
69,1.000000,2.000000,2,2,3,2
74,0.000000,0.500000,4,3,3,1
74,0.500000,0.500000,4,3,3,1
74,1.000000,0.500000,4,3,3,1
71,1.500000,0.250000,5,3,1,1
74,1.750000,0.250000,5,3,1,3
71,2.000000,1.000000,3,3,1,1
71,0.000000,0.500000,4,2,3,3
69,0.500000,0.250000,5,2,3,2
71,0.750000,0.250000,5,2,3,3
69,1.000000,0.500000,4,2,3,2
67,1.500000,0.500000,4,2,3,1
64,2.000000,1.000000,3,1,3,3
62,0.000000,0.500000,4,1,3,2
64,0.500000,0.500000,4,1,3,3
62,1.000000,1.000000,3,1,3,2
71,2.000000,1.000000,3,2,3,3
71,0.000000,0.500000,4,2,3,3
69,0.500000,0.500000,4,2,3,2
67,1.000000,0.332031,4,2,3,1
71,1.332031,0.332031,4,2,3,3
74,1.664062,0.335938,4,3,3,1
76,2.000000,0.332031,4,3,3,2
79,2.332031,0.332031,4,3,3,4
83,2.664062,0.335938,4,4,3,2
86,0.000000,0.500000,4,4,3,4
86,0.500000,0.500000,4,4,3,4
86,1.000000,0.500000,4,4,3,4
83,1.500000,0.250000,5,4,3,2
86,1.750000,0.250000,5,4,3,4
83,2.000000,1.000000,3,4,3,2
83,0.000000,0.500000,4,4,3,2
81,0.500000,0.250000,5,4,3,1
83,0.750000,0.250000,5,4,3,2
81,1.000000,0.500000,4,4,3,1
79,1.500000,0.500000,4,3,3,4
76,2.000000,1.000000,3,3,3,2
74,0.000000,0.500000,4,3,3,1
76,0.500000,0.500000,4,3,3,2
74,1.000000,1.000000,3,3,3,1
83,2.000000,1.000000,3,4,3,2
83,0.000000,0.500000,4,4,3,2
81,0.500000,0.500000,4,4,1,3
79,1.000000,2.000000,2,4,1,2
79,0.000000,2.000000,2,4,1,2
